episode,total_reward,final_velocity
749,0,-106.766
750,0,-106.766
751,0,-106.766
752,0,-106.766
753,0,-106.766
754,0,-106.766
755,0,-106.766
756,0,-106.766
757,0,-106.766
758,0,-106.766
759,0,-106.766
760,0,-106.766
761,0,-106.766
762,0,-106.766
763,0,-106.766
764,0,-106.766
765,0,-106.766
766,0,-106.766
767,0,-106.766
768,0,-106.766
769,0,-106.766
770,0,-106.766
771,0,-106.766
772,0,-106.766
773,0,-106.766
774,0,-106.766
775,0,-106.766
776,0,-106.766
777,0,-106.766
778,0,-106.766
779,0,-106.766
780,0,-106.766
781,0,-106.766
782,0,-106.766
783,0,-106.766
784,0,-106.766
785,0,-106.766
786,0,-106.766
787,0,-106.766
788,0,-106.766
789,0,-106.766
790,0,-106.766
791,0,-106.766
792,0,-106.766
793,0,-106.766
794,0,-106.766
795,0,-106.766
796,0,-106.766
797,0,-106.766
798,0,-106.766
799,0,-106.766
800,0,-106.766
801,0,-106.766
802,0,-106.766
803,0,-106.766
804,0,-106.766
805,0,-106.766
806,0,-106.766
807,0,-106.766
808,0,-106.766
809,0,-106.766
810,0,-106.766
811,0,-106.766
812,0,-106.766
813,0,-106.766
814,0,-106.766
815,0,-106.766
816,0,-106.766
817,0,-106.766
818,0,-106.766
819,0,-106.766
820,0,-106.766
821,0,-106.766
822,0,-106.766
823,0,-106.766
824,0,-106.766
825,0,-106.766
826,0,-106.766
827,0,-106.766
828,0,-106.766
829,0,-106.766
830,0,-106.766
831,0,-106.766
832,0,-106.766
833,0,-106.766
834,0,-106.766
835,0,-106.766
836,0,-106.766
837,0,-106.766
838,0,-106.766
839,0,-106.766
840,0,-106.766
841,0,-106.766
842,0,-106.766
843,0,-106.766
844,0,-106.766
845,0,-106.766
846,0,-106.766
847,0,-106.766
848,0,-106.766
849,0,-106.766
850,0,-106.766
851,0,-106.766
852,0,-106.766
853,0,-106.766
854,0,-106.766
855,0,-106.766
856,0,-106.766
857,0,-106.766
858,0,-106.766
859,0,-106.766
860,0,-106.766
861,0,-106.766
862,0,-106.766
863,0,-106.766
864,0,-106.766
865,0,-106.766
866,0,-106.766
867,0,-106.766
868,0,-106.766
869,0,-106.766
870,0,-106.766
871,0,-106.766
872,0,-106.766
873,0,-106.766
874,0,-106.766
875,0,-106.766
876,0,-106.766
877,0,-106.766
878,0,-106.766
879,0,-106.766
880,0,-106.766
881,0,-106.766
882,0,-106.766
883,0,-106.766
884,0,-106.766
885,0,-106.766
886,0,-106.766
887,0,-106.766
888,0,-106.766
889,0,-106.766
890,0,-106.766
891,0,-106.766
892,0,-106.766
893,0,-106.766
894,0,-106.766
895,0,-106.766
896,0,-106.766
897,0,-106.766
898,0,-106.766
899,0,-106.766
900,0,-106.766
901,0,-106.766
902,0,-106.766
903,0,-106.766
904,0,-106.766
905,0,-106.766
906,0,-106.766
907,0,-106.766
908,0,-106.766
909,0,-106.766
910,0,-106.766
911,0,-106.766
912,0,-106.766
913,0,-106.766
914,0,-106.766
915,0,-106.766
916,0,-106.766
917,0,-106.766
918,0,-106.766
919,0,-106.766
920,0,-106.766
921,0,-106.766
922,0,-106.766
923,0,-106.766
924,0,-106.766
925,0,-106.766
926,0,-106.766
927,0,-106.766
928,0,-106.766
929,0,-106.766
930,0,-106.766
931,0,-106.766
932,0,-106.766
933,0,-106.766
934,0,-106.766
935,0,-106.766
936,0,-106.766
937,0,-106.766
938,0,-106.766
939,0,-106.766
940,0,-106.766
941,0,-106.766
942,0,-106.766
943,0,-106.766
944,0,-106.766
945,0,-106.766
946,0,-106.766
947,0,-106.766
948,0,-106.766
949,0,-106.766
950,0,-106.766
951,0,-106.766
952,0,-106.766
953,0,-106.766
954,0,-106.766
955,0,-106.766
956,0,-106.766
957,0,-106.766
958,0,-106.766
959,0,-106.766
960,0,-106.766
961,0,-106.766
962,0,-106.766
963,0,-106.766
964,0,-106.766
965,0,-106.766
966,0,-106.766
967,0,-106.766
968,0,-106.766
969,0,-106.766
970,0,-106.766
971,0,-106.766
972,0,-106.766
973,0,-106.766
974,0,-106.766
975,0,-106.766
976,0,-106.766
977,0,-106.766
978,0,-106.766
979,0,-106.766
980,0,-106.766
981,0,-106.766
982,0,-106.766
983,0,-106.766
984,0,-106.766
985,0,-106.766
986,0,-106.766
987,0,-106.766
988,0,-106.766
989,0,-106.766
990,0,-106.766
991,0,-106.766
992,0,-106.766
993,0,-106.766
994,0,-106.766
995,0,-106.766
996,0,-106.766
997,0,-106.766
998,0,-106.766
999,0,-106.766
1000,0,-106.766
1001,0,-106.766
1002,0,-106.766
1003,0,-106.766
1004,0,-106.766
1005,0,-106.766
1006,0,-106.766
1007,0,-106.766
1008,0,-106.766
1009,0,-106.766
1010,0,-106.766
1011,0,-106.766
1012,0,-106.766
1013,0,-106.766
1014,0,-106.766
1015,0,-106.766
1016,0,-106.766
1017,0,-106.766
1018,0,-106.766
1019,0,-106.766
1020,0,-106.766
1021,0,-106.766
1022,0,-106.766
1023,0,-106.766
1024,0,-106.766
1025,0,-106.766
1026,0,-106.766
1027,0,-106.766
1028,0,-106.766
1029,0,-106.766
1030,0,-106.766
1031,0,-106.766
1032,0,-106.766
1033,0,-106.766
1034,0,-106.766
1035,0,-106.766
1036,0,-106.766
1037,0,-106.766
1038,0,-106.766
1039,0,-106.766
1040,0,-106.766
1041,0,-106.766
1042,0,-106.766
1043,0,-106.766
1044,0,-106.766
1045,0,-106.766
1046,0,-106.766
1047,0,-106.766
1048,0,-106.766
1049,0,-106.766
1050,0,-106.766
1051,0,-106.766
1052,0,-106.766
1053,0,-106.766
1054,0,-106.766
1055,0,-106.766
1056,0,-106.766
1057,0,-106.766
1058,0,-106.766
1059,0,-106.766
1060,0,-106.766
1061,0,-106.766
1062,0,-106.766
1063,0,-106.766
1064,0,-106.766
1065,0,-106.766
1066,0,-106.766
1067,0,-106.766
1068,0,-106.766
1069,0,-106.766
1070,0,-106.766
1071,0,-106.766
1072,0,-106.766
1073,0,-106.766
1074,0,-106.766
1075,0,-106.766
1076,0,-106.766
1077,0,-106.766
1078,0,-106.766
1079,0,-106.766
1080,0,-106.766
1081,0,-106.766
1082,0,-106.766
1083,0,-106.766
1084,0,-106.766
1085,0,-106.766
1086,0,-106.766
1087,0,-106.766
1088,0,-106.766
1089,0,-106.766
1090,0,-106.766
1091,0,-106.766
1092,0,-106.766
1093,0,-106.766
1094,0,-106.766
1095,0,-106.766
1096,0,-106.766
1097,0,-106.766
1098,0,-106.766
1099,0,-106.766
1100,0,-106.766
1101,0,-106.766
1102,0,-106.766
1103,0,-106.766
1104,0,-106.766
1105,0,-106.766
1106,0,-106.766
1107,0,-106.766
1108,0,-106.766
1109,0,-106.766
1110,0,-106.766
1111,0,-106.766
1112,0,-106.766
1113,0,-106.766
1114,0,-106.766
1115,0,-106.766
1116,0,-106.766
1117,0,-106.766
1118,0,-106.766
1119,0,-106.766
1120,0,-106.766
1121,0,-106.766
1122,0,-106.766
1123,0,-106.766
1124,0,-106.766
1125,0,-106.766
1126,0,-106.766
1127,0,-106.766
1128,0,-106.766
1129,0,-106.766
1130,0,-106.766
